Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",402,3,100n,C1525
C3,805,1,4u7,C1779
C5,805,1,1uF,C28323
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9",805,25,YLW,C2296
"J2, J3",USB_C_Receptacle_Amphenol_12401832E402A,2,USB_C_12401832E402A,C464604
J4,USB_Micro-B_Kinghelm-KH-MICRO5P-JN,1,USB_Micro-B_KH-MICRO5P-JN,C962222
J5,USB_Mini-B_Korean-Hroparts_U-M-M5DD-W-1_SMD-5-4MP,1,USB_Mini-B_U-M-M5DD-W-1,C145778
J6,USB3_A_Hong-Cheng_HC-USB3.0-L168-WP_THT-9-2MP_P2.0mm,1,USB3_A_HC-USB3.0-L168-WP,C7501850
"R1, R2, R3",805,3,10k,C17414
"R4, R5",805,2,2K,C17604
"RN1, RN2, RN3, RN4, RN5, RN6, RN7",R_Array_Concave_4x0402,7,1K6,C728711
SW2,SW-DIP-4P_P1.27mm_SMD-2x4,1,ZX-1.27BM-4PSMD,C5160896
U1,LQFP-32_7x7mm_P0.8mm,1,STM32C031K6T6,C5456169
